name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.7193088205746433,0.72088,0.63341
hongyuanchen,458,3,0.9901514301738642,0.88947,0.93355
jietang,1198,43,0.6400631942948368,0.65835,0.59136
minhu,526,23,0.5666803446860895,0.80400,0.53612
feichen,1412,79,0.44383066509811947,0.76096,0.42777
hongjunsong,268,4,0.8022273237923118,0.53796,0.54208
binzhou,1529,95,0.3904756187245795,0.61333,0.35387
xiangzhang,2364,116,0.4049197320187081,0.60162,0.36097
hongfuzhang,274,4,0.9985099898408398,0.98637,0.99754
weiminliu,1434,30,0.4378538535225432,0.44252,0.24651
aiqinwang,346,4,0.9893745129985125,0.96465,0.97984
hermannwagner,408,4,0.5787381055202299,0.51007,0.34730
yaowang,1406,77,0.31252812683906256,0.69739,0.29314
jianpei,577,6,0.8023086387773604,0.70948,0.68681
jihuawang,660,11,0.6589461378204329,0.43835,0.40821
weiren,586,19,0.6001819925727355,0.75058,0.54770
shinjitanaka,386,12,0.4118433796061431,0.54869,0.32397
qunli,742,24,0.4085773221267819,0.72262,0.34417
haijiang,506,28,0.3653284671532846,0.69109,0.32507
barrysmith,253,11,0.23047563123899,0.31031,0.13921
lingwang,716,21,0.6956123477145736,0.73633,0.66733
xiaohongguan,594,6,0.7688562267684362,0.59257,0.55607
jiewu,2588,84,0.6515011115239361,0.55900,0.58742
jijunzhao,105,4,0.9701928696668615,0.92456,0.95659
jianyang,2863,120,0.25176880063905055,0.61545,0.22561
ruiwang,2641,143,0.25643274271022265,0.62428,0.23438
haibohe,384,6,0.4621622328598708,0.33973,0.13449
davidparker,253,6,0.7521481178396072,0.73197,0.64799
fengwang,737,19,0.6623237724842003,0.76238,0.63488
gangli,3228,157,0.23255164127389957,0.59066,0.21275
baohongzhang,271,5,0.9941524612822057,0.98510,0.99048
bingxu,1233,68,0.35987478428382225,0.71288,0.33907
biaohuang,776,14,0.6712945377193649,0.69879,0.60205
taoli,2146,138,0.26661168210463987,0.66513,0.25293
lixingao,404,5,0.6455551695041446,0.52425,0.36001
jiegao,1254,102,0.3702066630616227,0.73197,0.35340
jimingchen,366,9,0.8167308495337076,0.74863,0.72970
jianhuayin,446,19,0.6043745798645224,0.72670,0.56231
hidekihayashi,168,12,0.4743589743589743,0.68196,0.40525
hongjiezhang,625,12,0.7517973689577808,0.63435,0.59499
hvogel,111,4,0.9392565729827742,0.92951,0.91668
wengao,33,4,1.0,1.00000,1.00000
rgupta,271,15,0.4707946853848082,0.67386,0.37641
jiegong,405,29,0.6412155260469868,0.75826,0.62326
bingren,351,9,0.9001290126735979,0.87897,0.87288
zhenlei,206,4,0.7546296296296295,0.65219,0.52038
chunchen,828,21,0.7786806035621604,0.54236,0.62898
frankcaruso,293,4,0.44990468121160776,0.11719,0.06853
hainingwang,406,20,0.5515963822599979,0.75225,0.50193
jianlongwang,738,12,0.414209031613769,0.51477,0.28346
average,,,0.60622,0.67529,0.51718
