name,num_nodes,true_clusters,pf1,nmi,ari
weiguozhu,372,12,0.9548213352626714,0.89485,0.92936
weidongtian,368,4,0.8703724079983195,0.56313,0.52180
yingtan,309,11,0.8044844330191373,0.89972,0.77076
lansunchen,426,3,0.9402284225514254,0.36125,0.32580
xiaomingxie,421,9,0.7004098917963364,0.59015,0.36034
weiliao,357,11,0.9210474657453575,0.92877,0.90133
makotoinoue,603,18,0.9202358299279408,0.93936,0.91251
lixintang,455,7,0.9627692880472491,0.88175,0.91303
chunshengzhao,403,6,0.7087259197023346,0.71654,0.52684
xiyao,848,8,0.9267293155982655,0.73766,0.69835
linglingwang,798,27,0.8767804887996166,0.89813,0.85434
yaofu,590,17,0.9853873442362615,0.95576,0.97346
qingjiang,919,25,0.7708991366603495,0.82527,0.71391
xiaorongwang,558,20,0.9314470525208833,0.94956,0.91819
minliu,1239,51,0.6654175173804047,0.87477,0.64859
pingwu,1211,37,0.8579629886012277,0.92312,0.84678
toshikazunakamura,90,4,0.7134711332858162,0.71875,0.56256
xiaowei,456,19,0.8782229572276931,0.91715,0.86040
xiaofengwang,1361,53,0.7819568308129767,0.90075,0.77051
williamclegg,210,6,0.8379848417298262,0.82207,0.78257
zhuosun,424,9,0.9919230046780382,0.93974,0.97856
xiaolinwu,388,14,0.9263626750408562,0.87547,0.87410
weihuawang,746,31,0.8542823596610922,0.85966,0.81161
zhiyuanzhang,488,11,0.9896156351791531,0.95884,0.97067
minghuazhou,272,11,0.7582554109723403,0.84308,0.69628
xucai,379,9,0.8950375785030372,0.90432,0.85600
qiangwang,2211,76,0.630321296347975,0.84835,0.61000
pingchen,1670,58,0.7854518644406676,0.86971,0.77248
qingsongliu,304,17,0.9007324729682595,0.91702,0.88251
wendongwang,460,12,0.9815447876494847,0.96167,0.96979
fengpeng,358,14,0.8985561364202141,0.93064,0.88401
wenjunli,250,22,0.8252531781943546,0.91804,0.81135
lixiangwang,529,11,0.9814579943452141,0.87226,0.95599
xiangli,2067,95,0.7417093715026212,0.88922,0.73124
average,,,0.85794,0.84960,0.78223
