name,num_nodes,true_clusters,pf1,nmi,ari
weiguozhu,372,12,0.9209188071022237,0.88527,0.88106
weidongtian,368,4,0.5568023329529606,0.47895,0.26552
yingtan,309,11,0.8221595965588847,0.90249,0.79283
lansunchen,426,3,0.5671246870473177,0.06347,0.03504
xiaomingxie,421,9,0.6217461701332668,0.66660,0.46665
weiliao,357,11,0.9757117177375527,0.96314,0.97008
makotoinoue,603,18,0.9801755161310688,0.97576,0.97828
lixintang,455,7,0.5234366104525384,0.64119,0.31942
chunshengzhao,403,6,0.7377684336987534,0.75012,0.57443
xiyao,848,8,0.5468685631576017,0.45599,0.23001
linglingwang,798,27,0.9258992019241282,0.94318,0.91347
yaofu,590,17,0.7734088663050838,0.85146,0.64882
qingjiang,919,25,0.7950468615290486,0.86040,0.75298
xiaorongwang,558,20,0.9687105879526755,0.95915,0.96272
minliu,1239,51,0.9023636852001075,0.92691,0.89842
pingwu,1211,37,0.8339758632249413,0.89573,0.82241
toshikazunakamura,90,4,0.6533687943262412,0.66523,0.51901
xiaowei,456,19,0.9285599614705411,0.93527,0.91881
xiaofengwang,1361,53,0.8750245676100629,0.94073,0.86930
williamclegg,210,6,0.6452209660842755,0.71286,0.54988
zhuosun,424,9,0.8969611810922333,0.83060,0.76698
xiaolinwu,388,14,0.5562284662629202,0.68196,0.39601
weihuawang,746,31,0.5504346399868788,0.84479,0.48562
zhiyuanzhang,488,11,0.6177724108538145,0.65067,0.35047
minghuazhou,272,11,0.8035241123476418,0.85993,0.75422
xucai,379,9,0.8387725280077933,0.87960,0.78742
qiangwang,2211,76,0.8182757814887384,0.86258,0.80965
pingchen,1670,58,0.7059443111114455,0.87371,0.69138
qingsongliu,304,17,0.9118695066909493,0.93960,0.89794
wendongwang,460,12,0.7040392840171075,0.84372,0.59150
fengpeng,358,14,0.9245616419736306,0.93987,0.91476
wenjunli,250,22,0.8825322391559204,0.92905,0.87390
lixiangwang,529,11,0.8011606776481622,0.72988,0.62351
xiangli,2067,95,0.7012339373084575,0.85832,0.69045
average,,,0.77258,0.79995,0.67656
name,num_nodes,true_clusters,pf1,nmi,ari
weiguozhu,372,12,0.5849617790132037,0.72757,0.46376
weidongtian,368,4,0.7346886221548234,0.67376,0.48556
yingtan,309,11,0.8486120830417542,0.90613,0.82511
lansunchen,426,3,0.4929063711134104,0.04896,0.00577
xiaomingxie,421,9,0.5876444882999717,0.64183,0.41433
weiliao,357,11,0.8858624577226607,0.90924,0.86196
makotoinoue,603,18,0.6539953222607099,0.74923,0.61862
lixintang,455,7,0.7103657548891505,0.62645,0.50055
chunshengzhao,403,6,0.674939976926195,0.68936,0.49288
xiyao,848,8,0.34022989970561623,0.31209,0.10179
linglingwang,798,27,0.9099571640877698,0.90274,0.89485
yaofu,590,17,0.49249604302141536,0.66485,0.33704
qingjiang,919,25,0.6159639909977495,0.68319,0.54503
xiaorongwang,558,20,0.7850642334013687,0.89975,0.75305
minliu,1239,51,0.7116638493117604,0.82821,0.69877
pingwu,1211,37,0.5755206622429538,0.81120,0.55396
toshikazunakamura,90,4,0.5930131004366812,0.53849,0.43133
xiaowei,456,19,0.8151877133105804,0.86441,0.79174
xiaofengwang,1361,53,0.6010122993122832,0.80628,0.58299
williamclegg,210,6,0.5088519802883738,0.55157,0.34666
zhuosun,424,9,0.5100420486301549,0.51064,0.25794
xiaolinwu,388,14,0.43125395597440036,0.67240,0.28157
weihuawang,746,31,0.4371065018237851,0.71311,0.36221
zhiyuanzhang,488,11,0.3335541357721319,0.46207,0.13152
minghuazhou,272,11,0.5292585784313726,0.69751,0.44039
xucai,379,9,0.8018313019222606,0.84818,0.74441
qiangwang,2211,76,0.534881425892792,0.73494,0.51189
pingchen,1670,58,0.5275943562887181,0.77899,0.50552
qingsongliu,304,17,0.7746811525743978,0.84616,0.73880
wendongwang,460,12,0.58507871321013,0.71796,0.45679
fengpeng,358,14,0.8169924812030076,0.89755,0.79626
wenjunli,250,22,0.8623452294246177,0.91334,0.85259
